isin,requested_exchCode,figi,name,ticker,exchCode,compositeFIGI,shareClassFIGI,securityType,securityType2,marketSector,securityDescription,warning,yahoo_ticker
INE03QK01018,IN,BBG00RCG79J4,COHANCE LIFESCIENCES LTD,COHANCE,IN,BBG00RCG79J4,BBG00RCG79L1,Common Stock,Common Stock,Equity,COHANCE,,COHANCE.NS
INE237A01036,IN,BBG000CVD592,KOTAK MAHINDRA BANK LTD,KMB,IN,BBG000CVD592,BBG001S83WJ5,Common Stock,Common Stock,Equity,KMB,,KMB.NS
INE262H01021,IN,BBG000TL5HN3,PERSISTENT SYSTEMS LTD,PSYS,IN,BBG000TL5HN3,BBG001T0CFN3,Common Stock,Common Stock,Equity,PSYS,,PSYS.NS
INE361B01024,IN,BBG000DJVX88,DIVI'S LABORATORIES LTD,DIVI,IN,BBG000DJVX88,BBG001SJGYK1,Common Stock,Common Stock,Equity,DIVI,,DIVI.NS
INE01EA01019,IN,BBG01QD8RRB8,VISHAL MEGA MART LTD,VMM,IN,BBG01QD8RRB8,BBG01QD8RS35,Common Stock,Common Stock,Equity,VMM,,VMM.NS
INE417T01026,IN,BBG004DZ49P8,PB FINTECH LTD,POLICYBZ,IN,BBG004DZ49P8,BBG004DZ49Q7,Common Stock,Common Stock,Equity,POLICYBZ,,POLICYBZ.NS
INE118H01025,IN,BBG000GKW537,BSE LTD,BSE,IN,BBG000GKW537,BBG001SQG5F4,Common Stock,Common Stock,Equity,BSE,,BSE.NS
INE935N01020,IN,BBG000BKD1Y8,DIXON TECHNOLOGIES INDIA LTD,DIXON,IN,BBG000BKD1Y8,BBG001SN6MH3,Common Stock,Common Stock,Equity,DIXON,,DIXON.NS
INE745G01043,IN,BBG000Q47HF1,MULTI COMMODITY EXCH INDIA,MCX,IN,BBG000Q47HF1,BBG001SM5FF3,Common Stock,Common Stock,Equity,MCX,,MCX.NS
INE914M01019,IN,BBG006G0NLT5,ASTER DM HEALTHCARE LTD,ASTERDM,IN,BBG006G0NLT5,BBG006G0NLV2,Common Stock,Common Stock,Equity,ASTERDM,,ASTERDM.NS
INE0CZ201020,IN,BBG00KK4D839,ANTHEM BIOSCIENCES LTD,ANTHEM,IN,BBG00KK4D839,BBG00KK4D848,Common Stock,Common Stock,Equity,ANTHEM,,ANTHEM.NS
INE216A01030,IN,BBG000CPKD72,BRITANNIA INDUSTRIES LTD,BRIT,IN,BBG000CPKD72,BBG001S830C2,Common Stock,Common Stock,Equity,BRIT,,BRIT.NS
INE956O01016,IN,BBG0027FK5W5,LENSKART SOLUTIONS LTD,LENSKART,IN,BBG0027FK5W5,BBG0027FK5Y3,Common Stock,Common Stock,Equity,LENSKART,,LENSKART.NS
INE494B01023,IN,BBG000BZW4Y8,TVS MOTOR CO LTD,TVSL,IN,BBG000BZW4Y8,BBG001SFM6C2,Common Stock,Common Stock,Equity,TVSL,,TVSL.NS
INE346A01027,IN,BBG000HN50X8,ICICI PRUDENTIAL ASSET MANAG,ICICIAMC,IN,BBG000HN50X8,BBG001SNZTP7,Common Stock,Common Stock,Equity,ICICIAMC,,ICICIAMC.NS
INE794A01010,IN,BBG000DWVW81,NEULAND LABORATORIES LTD,NLL,IN,BBG000DWVW81,BBG001S8DXL9,Common Stock,Common Stock,Equity,NLL,,NLL.NS
INE298J01013,IN,BBG000HN55L0,NIPPON LIFE INDIA ASSET MANA,NAM,IN,BBG000HN55L0,BBG001SNZVK7,Common Stock,Common Stock,Equity,NAM,,NAM.NS
INE093A01041,IN,BBG01PMLP558,HEXAWARE TECHNOLOGIES LTD,HEXT,IN,BBG01PMLP558,BBG01PMLP5C0,Common Stock,Common Stock,Equity,HEXT,,HEXT.NS
